event_type,fields
ESACC,R 100653296 100653337 42 -83.9 42.0 -28.1 -31.3 1.48 113
SFIX,R 100653338
EFIX,R 100653338 100653682 345 -58.5 11.5 3795
SSACC,R 100653683
ESACC,R 100653683 100653744 62 -83.3 48.2 584.6 163.3 10.96 271
SFIX,R 100653745
EFIX,R 100653745 100654194 450 589.6 171.5 3998
SSACC,R 100654195
ESACC,R 100654195 100654214 20 590.9 176.5 615.1 260.8 1.50 121
SFIX,R 100654215
EFIX,R 100654215 100654591 377 613.5 256.6 3924
SSACC,R 100654592
ESACC,R 100654592 100654620 29 614.1 256.0 420.7 251.1 3.24 192
SFIX,R 100654621
EFIX,R 100654621 100654929 309 415.2 255.1 3885
SSACC,R 100654930
ESACC,R 100654930 100654965 36 414.8 258.1 753.0 242.1 5.69 297
SFIX,R 100654966
EFIX,R 100654966 100655241 276 745.3 254.1 3327
SSACC,R 100655242
ESACC,R 100655242 100655255 14 740.8 260.1 792.0 257.4 0.87 83
SFIX,R 100655256
EFIX,R 100655256 100655560 305 785.3 262.6 3044
SSACC,R 100655561
ESACC,R 100655561 100655569 9 779.3 266.9 799.2 280.6 0.41 48
SFIX,R 100655570
EFIX,R 100655570 100655772 203 799.1 288.6 2888
SSACC,R 100655773
ESACC,R 100655773 100655780 8 793.0 290.4 773.7 289.1 0.33 43
SFIX,R 100655781
EFIX,R 100655781 100656511 731 759.4 291.1 2557
SSACC,R 100656512
ESACC,R 100656512 100656523 12 758.2 290.3 790.7 268.9 0.66 68
SFIX,R 100656524
EFIX,R 100656524 100657121 598 767.1 261.6 2955
SSACC,R 100657122
SBLINK,R 100657140
EBLINK,R 100657140 100657231 92
ESACC,R 100657122 100657266 145 738.6 253.2 127.0 111.8 10.37 543
SFIX,R 100657267
EFIX,R 100657267 100657435 169 127.3 95.6 3536
SSACC,R 100657436
ESACC,R 100657436 100657465 30 129.4 95.6 -128.1 241.1 4.71 286
SFIX,R 100657466
EFIX,R 100657466 100657604 139 -125.2 251.5 3424
SSACC,R 100657605
SBLINK,R 100657639
