Time,Gaze_Target_X,Gaze_Target_Y
8.032931,-999.000000,-999.000000
8.051275,-999.000000,-999.000000
8.065691,-999.000000,-999.000000
8.091505,-999.000000,-999.000000
8.114434,-999.000000,-999.000000
8.123493,-999.000000,-999.000000
8.154520,-999.000000,-999.000000
8.171267,-999.000000,-999.000000
8.193635,-999.000000,-999.000000
8.215953,-999.000000,-999.000000
8.226596,-999.000000,-999.000000
8.244420,-999.000000,-999.000000
8.275430,-999.000000,-999.000000
8.292543,-999.000000,-999.000000
8.306008,-999.000000,-999.000000
8.333117,-999.000000,-999.000000
8.351608,-999.000000,-999.000000
8.374737,-999.000000,-999.000000
8.394023,-999.000000,-999.000000
8.414482,-999.000000,-999.000000
8.424101,-999.000000,-999.000000
8.446643,-999.000000,-999.000000
8.473039,-999.000000,-999.000000
8.494954,-999.000000,-999.000000
8.504495,-999.000000,-999.000000
8.526434,-999.000000,-999.000000
8.545175,-999.000000,-999.000000
8.572155,-999.000000,-999.000000
8.585201,-999.000000,-999.000000
8.604996,-999.000000,-999.000000
8.634057,-999.000000,-999.000000
8.643743,-999.000000,-999.000000
8.671158,-999.000000,-999.000000
8.693534,-999.000000,-999.000000
8.711780,-999.000000,-999.000000
8.731948,-999.000000,-999.000000
8.745516,-999.000000,-999.000000
8.775341,-999.000000,-999.000000
8.784261,-999.000000,-999.000000
8.812857,-999.000000,-999.000000
8.832897,-999.000000,-999.000000
8.851631,-999.000000,-999.000000
8.864625,-999.000000,-999.000000
8.884178,-999.000000,-999.000000
8.911190,-999.000000,-999.000000
8.924406,-999.000000,-999.000000
8.954877,-999.000000,-999.000000
8.972726,-999.000000,-999.000000
8.993462,-999.000000,-999.000000
9.011659,-999.000000,-999.000000
9.035060,-999.000000,-999.000000
9.055026,-999.000000,-999.000000
9.074274,-999.000000,-999.000000
9.084349,-999.000000,-999.000000
9.104201,-999.000000,-999.000000
9.131633,-999.000000,-999.000000
9.154368,-999.000000,-999.000000
9.173382,-999.000000,-999.000000
9.191954,-999.000000,-999.000000
9.206416,-999.000000,-999.000000
9.234103,-999.000000,-999.000000
9.243685,-999.000000,-999.000000
9.274759,-999.000000,-999.000000
9.283946,-999.000000,-999.000000
9.305139,-999.000000,-999.000000
9.331455,-999.000000,-999.000000
9.345404,-999.000000,-999.000000
9.372865,-999.000000,-999.000000
9.391357,-999.000000,-999.000000
9.412228,-999.000000,-999.000000
9.431908,-999.000000,-999.000000
9.453735,-999.000000,-999.000000
9.472693,-999.000000,-999.000000
9.493504,-999.000000,-999.000000
9.511380,-999.000000,-999.000000
9.524595,-999.000000,-999.000000
9.551586,-999.000000,-999.000000
9.571700,-999.000000,-999.000000
9.593279,-999.000000,-999.000000
9.614393,-999.000000,-999.000000
9.625771,-999.000000,-999.000000
9.651770,-999.000000,-999.000000
9.674348,-999.000000,-999.000000
9.684116,-999.000000,-999.000000
9.713497,-999.000000,-999.000000
9.731339,-999.000000,-999.000000
9.746824,-999.000000,-999.000000
9.771973,-999.000000,-999.000000
9.795102,-999.000000,-999.000000
9.804082,-999.000000,-999.000000
9.823550,-999.000000,-999.000000
9.846332,-999.000000,-999.000000
9.864376,-999.000000,-999.000000
9.882653,-999.000000,-999.000000
9.903766,-999.000000,-999.000000
9.934169,-999.000000,-999.000000
9.943904,-999.000000,-999.000000
9.963762,-999.000000,-999.000000
9.994448,-999.000000,-999.000000
10.005252,-999.000000,-999.000000
10.034704,-999.000000,-999.000000
10.044479,-999.000000,-999.000000
10.074656,-999.000000,-999.000000
10.084561,-999.000000,-999.000000
10.110977,-999.000000,-999.000000
10.132141,-999.000000,-999.000000
10.146116,-999.000000,-999.000000
10.163949,-999.000000,-999.000000
10.194703,-999.000000,-999.000000
10.213488,-999.000000,-999.000000
10.231827,-999.000000,-999.000000
10.245294,-999.000000,-999.000000
10.275468,-999.000000,-999.000000
10.283996,-999.000000,-999.000000
10.312263,-999.000000,-999.000000
10.324605,-999.000000,-999.000000
10.351314,-999.000000,-999.000000
10.373626,-999.000000,-999.000000
10.391864,-999.000000,-999.000000
10.404547,-999.000000,-999.000000
10.431699,-999.000000,-999.000000
10.446427,-999.000000,-999.000000
10.465461,-999.000000,-999.000000
10.496753,-999.000000,-999.000000
10.514096,-999.000000,-999.000000
10.531376,-999.000000,-999.000000
10.546200,-999.000000,-999.000000
10.571941,-999.000000,-999.000000
10.591671,-999.000000,-999.000000
10.615146,-999.000000,-999.000000
10.634935,-999.000000,-999.000000
10.656033,-999.000000,-999.000000
10.665797,-999.000000,-999.000000
10.683391,-999.000000,-999.000000
10.715107,-999.000000,-999.000000
10.723564,-999.000000,-999.000000
10.746174,-999.000000,-999.000000
10.774685,-999.000000,-999.000000
10.792817,-999.000000,-999.000000
10.816135,-999.000000,-999.000000
10.832194,-999.000000,-999.000000
10.851166,-999.000000,-999.000000
10.875637,-999.000000,-999.000000
10.886248,-999.000000,-999.000000
10.904817,-999.000000,-999.000000
10.924528,-999.000000,-999.000000
10.951679,-999.000000,-999.000000
10.966009,-999.000000,-999.000000
10.984163,-999.000000,-999.000000
11.004314,-999.000000,-999.000000
11.033412,-999.000000,-999.000000
11.043521,-999.000000,-999.000000
11.062282,-999.000000,-999.000000
11.086124,-999.000000,-999.000000
11.105369,-999.000000,-999.000000
11.131889,-999.000000,-999.000000
11.144671,-999.000000,-999.000000
11.174700,-999.000000,-999.000000
11.195556,-999.000000,-999.000000
11.205057,-999.000000,-999.000000
11.224450,-999.000000,-999.000000
11.253585,-999.000000,-999.000000
11.262958,-999.000000,-999.000000
11.292772,-999.000000,-999.000000
11.316568,-999.000000,-999.000000
11.331299,-999.000000,-999.000000
11.346916,-999.000000,-999.000000
11.364210,-999.000000,-999.000000
11.393469,-999.000000,-999.000000
11.411730,-999.000000,-999.000000
11.425235,-999.000000,-999.000000
11.444509,-999.000000,-999.000000
11.464971,-999.000000,-999.000000
11.492897,-999.000000,-999.000000
11.504535,-999.000000,-999.000000
11.526396,-999.000000,-999.000000
11.544514,-999.000000,-999.000000
11.573428,-999.000000,-999.000000
11.592598,-999.000000,-999.000000
11.614970,-999.000000,-999.000000
11.633333,-999.000000,-999.000000
11.652172,-999.000000,-999.000000
11.665419,-999.000000,-999.000000
11.683452,-999.000000,-999.000000
11.715622,-999.000000,-999.000000
11.724684,-999.000000,-999.000000
11.743503,-999.000000,-999.000000
11.773001,-999.000000,-999.000000
11.784172,-999.000000,-999.000000
11.811183,-999.000000,-999.000000
11.834136,-999.000000,-999.000000
11.851261,-999.000000,-999.000000
11.866093,-999.000000,-999.000000
11.885785,-999.000000,-999.000000
11.904734,-999.000000,-999.000000
11.932459,-999.000000,-999.000000
11.943510,-999.000000,-999.000000
11.974672,-999.000000,-999.000000
11.994251,-999.000000,-999.000000
12.012043,-999.000000,-999.000000
12.024765,-999.000000,-999.000000
12.046379,-999.000000,-999.000000
12.072589,-999.000000,-999.000000
12.091140,-999.000000,-999.000000
12.105617,-999.000000,-999.000000
12.125537,-999.000000,-999.000000
12.145432,-999.000000,-999.000000
12.172662,-999.000000,-999.000000
12.194943,-999.000000,-999.000000
12.205785,-999.000000,-999.000000
12.224192,-999.000000,-999.000000
12.244025,-999.000000,-999.000000
12.274174,-999.000000,-999.000000
12.294751,-999.000000,-999.000000
12.304505,-999.000000,-999.000000
12.331587,-999.000000,-999.000000
12.344394,-999.000000,-999.000000
12.364196,-999.000000,-999.000000
12.391368,-999.000000,-999.000000
12.414544,-999.000000,-999.000000
12.425436,-999.000000,-999.000000
12.444771,-999.000000,-999.000000
12.475256,-999.000000,-999.000000
12.483939,-999.000000,-999.000000
12.511962,-999.000000,-999.000000
12.524977,-999.000000,-999.000000
12.551299,-999.000000,-999.000000
12.572719,-999.000000,-999.000000
12.584570,-999.000000,-999.000000
12.614301,-999.000000,-999.000000
12.633575,-999.000000,-999.000000
12.651982,-999.000000,-999.000000
12.673672,-999.000000,-999.000000
12.691392,-999.000000,-999.000000
12.705754,-999.000000,-999.000000
12.726711,-999.000000,-999.000000
12.744375,-999.000000,-999.000000
12.772711,-999.000000,-999.000000
12.791386,-999.000000,-999.000000
12.806333,-999.000000,-999.000000
12.831090,-999.000000,-999.000000
12.852015,-999.000000,-999.000000
12.865406,-999.000000,-999.000000
12.892221,-999.000000,-999.000000
12.915951,-999.000000,-999.000000
12.926114,-999.000000,-999.000000
12.953784,-999.000000,-999.000000
12.974922,-999.000000,-999.000000
12.992847,-999.000000,-999.000000
13.015667,-999.000000,-999.000000
13.026420,-999.000000,-999.000000
13.045946,-999.000000,-999.000000
