tracker_time_ms,message
100860667,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100860667,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100860667,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100860667,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100860667,!V TRIAL_VAR Stim_Orientation_deg 0.0
100860667,!V TRIAL_VAR Gap_Duration_ms 100.0
100860667,!V TRIAL_VAR Stim_Duration_ms 200.0
100860667,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100860668,!V TRIAL_VAR Condition_ID C000003
100860668,!V TRIAL_VAR Is_Control False
100860668,!V TRIAL_VAR Stim_Color_Name Gray
100860668,!V TRIAL_VAR Stim_Intensity_Level 180
100860668,!V TRIAL_VAR Stim_Pos_X_deg 3.0
100860668,!V TRIAL_VAR Stim_Pos_Y_deg -6.0
100860673,FIX_ON TRIAL 8
100861918,GAZE_ACQUIRED TRIAL 8
100862075,FIX_OFF TRIAL 8
100862181,STIM_ON TRIAL 8
100862357,TARGET_ENTER TRIAL 8
100862389,STIM_OFF TRIAL 8
100862460,STIM_WINDOW_END TRIAL 8
100862464,REWARD TRIAL 8
100862727,!V TRIAL_VAR Status Success
100862727,!V TRIAL_VAR Subject_ID Monkey_H18
100862727,TRIAL_RESULT Success
100865792,TRIALID 9
100865792,!V TRIAL_VAR Subject_ID Monkey_H18
100865792,!V TRIAL_VAR Planned_Fixation_Duration_ms 364.4494427731837
100865792,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100865792,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100865792,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100865792,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100865792,!V TRIAL_VAR Stim_Pos_X_deg 9.0
100865792,!V TRIAL_VAR Stim_Pos_Y_deg 0.0
100865792,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100865792,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
