event_type,fields
ESACC,R 100813262 100813268 7 120.7 -51.6 137.1 -51.7 0.26 40
SFIX,R 100813269
EFIX,R 100813269 100814059 791 140.1 -47.6 3331
SSACC,R 100814060
ESACC,R 100814060 100814086 27 138.6 -47.1 31.0 -98.6 1.91 97
SFIX,R 100814087
EFIX,R 100814087 100814707 621 -107.0 -144.3 3408
SSACC,R 100814708
ESACC,R 100814708 100814715 8 -93.3 -154.1 -80.6 -175.9 0.40 51
SFIX,R 100814716
EFIX,R 100814716 100814737 22 -76.9 -185.3 2990
SSACC,R 100814738
ESACC,R 100814738 100814781 44 -82.7 -186.9 133.4 -45.6 4.12 129
SFIX,R 100814782
EFIX,R 100814782 100815015 234 206.4 19.9 3809
SSACC,R 100815016
ESACC,R 100815016 100815036 21 218.0 24.1 138.7 -1.1 1.35 84
SFIX,R 100815037
EFIX,R 100815037 100815466 430 43.0 -56.6 3217
SSACC,R 100815467
ESACC,R 100815467 100815481 15 40.3 -64.5 97.4 -46.2 0.96 90
SFIX,R 100815482
EFIX,R 100815482 100815833 352 97.6 -41.0 3228
SSACC,R 100815834
ESACC,R 100815834 100815871 38 87.6 -38.5 471.3 -43.8 6.25 293
SFIX,R 100815872
EFIX,R 100815872 100816285 414 463.2 -36.2 1919
SSACC,R 100816286
ESACC,R 100816286 100816321 36 457.8 -32.4 182.8 81.2 4.90 215
SFIX,R 100816322
EFIX,R 100816322 100816787 466 150.7 109.8 2328
SSACC,R 100816788
ESACC,R 100816788 100816832 45 156.1 108.8 455.0 35.8 5.05 159
SFIX,R 100816833
EFIX,R 100816833 100817119 287 495.3 50.8 2363
SSACC,R 100817120
ESACC,R 100817120 100817151 32 498.6 58.7 676.7 265.7 4.63 260
SFIX,R 100817152
EFIX,R 100817152 100817454 303 679.7 265.7 2457
SSACC,R 100817455
ESACC,R 100817455 100817477 23 679.4 259.2 566.1 231.9 1.97 135
SFIX,R 100817478
EFIX,R 100817478 100817834 357 555.0 226.0 2966
SSACC,R 100817835
ESACC,R 100817835 100817872 38 553.6 217.9 454.7 -107.6 5.75 237
SFIX,R 100817873
EFIX,R 100817873 100818367 495 424.6 -144.2 2580
SSACC,R 100818368
ESACC,R 100818368 100818390 23 415.7 -143.2 438.7 -261.0 2.00 147
SFIX,R 100818391
EFIX,R 100818391 100818591 201 442.0 -265.2 1844
SSACC,R 100818592
ESACC,R 100818592 100818620 29 442.7 -265.6 428.5 -50.7 3.61 196
SFIX,R 100818621
EFIX,R 100818621 100819264 644 404.6 -33.9 1948
SSACC,R 100819265
ESACC,R 100819265 100819298 34 399.3 -33.6 684.6 -20.2 4.78 245
SFIX,R 100819299
EFIX,R 100819299 100819437 139 683.5 -17.4 1422
SSACC,R 100819438
ESACC,R 100819438 100819444 7 687.8 -17.9 702.2 -20.7 0.25 38
SFIX,R 100819445
EFIX,R 100819445 100819715 271 708.5 -22.9 1771
SSACC,R 100819716
ESACC,R 100819716 100819743 28 709.8 -13.9 647.6 194.4 3.71 234
SFIX,R 100819744
EFIX,R 100819744 100820407 664 634.1 223.1 2490
SSACC,R 100820408
ESACC,R 100820408 100820417 10 638.2 223.1 642.6 254.1 0.54 58
SFIX,R 100820418
EFIX,R 100820418 100820829 412 646.5 251.3 2898
SSACC,R 100820830
SBLINK,R 100820869
EBLINK,R 100820869 100820920 52
ESACC,R 100820830 100820946 117 646.7 249.6 583.5 -178.9 7.35 443
SFIX,R 100820947
EFIX,R 100820947 100821274 328 576.3 -151.9 2207
SSACC,R 100821275
ESACC,R 100821275 100821312 38 571.5 -149.7 808.7 -30.3 4.48 169
SFIX,R 100821313
EFIX,R 100821313 100821937 625 853.1 18.7 1902
SSACC,R 100821938
ESACC,R 100821938 100821965 28 851.5 13.5 788.7 191.9 3.23 210
SFIX,R 100821966
EFIX,R 100821966 100822526 561 779.4 202.8 2463
SSACC,R 100822527
ESACC,R 100822527 100822554 28 780.0 202.7 711.1 -4.2 3.72 222
SFIX,R 100822555
EFIX,R 100822555 100822830 276 696.8 -48.5 2396
SSACC,R 100822831
ESACC,R 100822831 100822861 31 694.3 -46.0 429.1 -18.6 4.47 252
SFIX,R 100822862
EFIX,R 100822862 100823605 744 402.1 -23.4 1776
SSACC,R 100823606
ESACC,R 100823606 100823640 35 395.7 -24.6 696.8 114.4 5.57 284
SFIX,R 100823641
EFIX,R 100823641 100824437 797 701.4 127.5 1888
SSACC,R 100824438
ESACC,R 100824438 100824456 19 705.7 124.5 753.4 129.8 0.81 51
SFIX,R 100824457
EFIX,R 100824457 100825328 872 788.5 142.6 2217
SSACC,R 100825329
ESACC,R 100825329 100825355 27 791.8 140.2 811.8 39.7 1.75 82
SFIX,R 100825356
EFIX,R 100825356 100826383 1028 810.5 -11.1 2194
SSACC,R 100826384
ESACC,R 100826384 100826406 23 805.7 -11.0 783.8 76.0 1.53 87
SFIX,R 100826407
EFIX,R 100826407 100827512 1106 786.6 115.9 2239
SSACC,R 100827513
ESACC,R 100827513 100827547 35 806.1 116.5 840.7 -130.3 4.25 165
SFIX,R 100827548
EFIX,R 100827548 100827858 311 842.0 -187.2 2098
SSACC,R 100827859
ESACC,R 100827859 100827871 13 841.2 -193.3 810.8 -222.8 0.72 67
SFIX,R 100827872
EFIX,R 100827872 100827903 32 805.2 -227.0 2103
SSACC,R 100827904
ESACC,R 100827904 100827943 40 802.7 -226.9 513.7 -51.3 5.68 198
SFIX,R 100827944
EFIX,R 100827944 100828072 129 466.8 -35.2 2562
SSACC,R 100828073
ESACC,R 100828073 100828084 12 462.2 -34.8 418.7 -30.1 0.73 73
SFIX,R 100828085
EFIX,R 100828085 100828883 799 402.1 -26.8 1799
SSACC,R 100828884
ESACC,R 100828884 100828918 35 397.3 -23.7 696.3 117.8 5.55 276
SFIX,R 100828919
EFIX,R 100828919 100829450 532 698.2 130.0 1838
SSACC,R 100829451
ESACC,R 100829451 100829475 25 696.8 131.1 588.4 211.1 2.28 108
SFIX,R 100829476
EFIX,R 100829476 100830237 762 546.2 233.5 2585
SSACC,R 100830238
ESACC,R 100830238 100830264 27 545.2 230.2 660.5 142.9 2.45 139
SFIX,R 100830265
EFIX,R 100830265 100830582 318 722.9 102.0 2516
SSACC,R 100830583
ESACC,R 100830583 100830607 25 723.7 100.7 656.9 236.2 2.58 181
SFIX,R 100830608
EFIX,R 100830608 100831310 703 648.8 248.1 2631
SSACC,R 100831311
ESACC,R 100831311 100831321 11 651.3 238.3 639.7 214.3 0.45 45
SFIX,R 100831322
EFIX,R 100831322 100831437 116 624.0 202.4 2838
SSACC,R 100831438
ESACC,R 100831438 100831452 15 619.1 201.0 585.7 202.9 0.56 47
SFIX,R 100831453
EFIX,R 100831453 100831541 89 556.2 203.2 2915
SSACC,R 100831542
ESACC,R 100831542 100831556 15 546.8 202.7 519.7 189.4 0.51 39
SFIX,R 100831557
EFIX,R 100831557 100832063 507 498.7 186.0 2973
SSACC,R 100832064
ESACC,R 100832064 100832093 30 494.2 189.9 344.7 -12.4 4.23 255
SFIX,R 100832094
EFIX,R 100832094 100832440 347 327.4 -17.7 2226
SSACC,R 100832441
ESACC,R 100832441 100832477 37 326.6 -18.7 585.0 -6.7 4.30 170
SFIX,R 100832478
EFIX,R 100832478 100833220 743 600.5 -3.8 1991
SSACC,R 100833221
ESACC,R 100833221 100833247 27 598.7 -3.0 408.4 -20.9 3.19 209
SFIX,R 100833248
EFIX,R 100833248 100835440 2193 397.8 -22.7 1705
SSACC,R 100835441
SBLINK,R 100835464
EBLINK,R 100835464 100835567 104
ESACC,R 100835441 100835587 147 404.2 -20.0 642.6 82.8 4.35 659
SFIX,R 100835588
EFIX,R 100835588 100836133 546 635.1 86.4 2005
SSACC,R 100836134
SBLINK,R 100836147
EBLINK,R 100836147 100836297 151
ESACC,R 100836134 100836324 191 635.8 87.4 753.9 -180.4 4.97 281
SFIX,R 100836325
EFIX,R 100836325 100836584 260 741.9 -164.2 1808
SSACC,R 100836585
ESACC,R 100836585 100836601 17 741.5 -167.5 739.6 -229.9 1.05 74
SFIX,R 100836602
EFIX,R 100836602 100837008 407 743.2 -235.8 1972
SSACC,R 100837009
ESACC,R 100837009 100837037 29 743.8 -235.4 555.8 -260.9 3.18 183
SFIX,R 100837038
EFIX,R 100837038 100838029 992 535.5 -255.7 2206
SSACC,R 100838030
ESACC,R 100838030 100838067 38 532.3 -257.8 572.3 19.8 4.73 187
SFIX,R 100838068
EFIX,R 100838068 100839197 1130 576.0 88.3 2037
SSACC,R 100839198
ESACC,R 100839198 100839209 12 578.7 84.5 592.8 64.7 0.41 41
SFIX,R 100839210
EFIX,R 100839210 100839700 491 623.5 42.5 2010
SSACC,R 100839701
ESACC,R 100839701 100839746 46 627.8 40.6 831.0 12.8 3.47 94
SFIX,R 100839747
EFIX,R 100839747 100840408 662 908.7 -5.9 1918
SSACC,R 100840409
ESACC,R 100840409 100840446 38 908.8 -11.4 711.7 23.3 3.40 118
SFIX,R 100840447
EFIX,R 100840447 100840468 22 660.8 30.2 2420
SSACC,R 100840469
SBLINK,R 100840488
EBLINK,R 100840488 100840663 176
ESACC,R 100840469 100840694 226 624.0 35.7 546.8 50.0 1.32 452
SFIX,R 100840695
EFIX,R 100840695 100844391 3697 534.6 59.3 2167
SSACC,R 100844392
SBLINK,R 100844407
EBLINK,R 100844407 100844719 313
ESACC,R 100844392 100844730 339 534.2 63.6 574.1 69.4 0.68 98
SFIX,R 100844731
EFIX,R 100844731 100846312 1582 567.5 32.5 2052
SSACC,R 100846313
ESACC,R 100846313 100846337 25 566.2 34.3 418.3 -16.4 2.61 170
SFIX,R 100846338
EFIX,R 100846338 100847094 757 404.1 -22.1 1954
SSACC,R 100847095
ESACC,R 100847095 100847130 36 401.5 -23.6 686.6 115.1 5.32 256
SFIX,R 100847131
EFIX,R 100847131 100847526 396 695.5 126.1 2020
SSACC,R 100847527
ESACC,R 100847527 100847555 29 702.3 123.7 600.0 317.4 3.73 199
SFIX,R 100847556
EFIX,R 100847556 100847789 234 592.1 334.4 2431
SSACC,R 100847790
ESACC,R 100847790 100847811 22 593.2 328.5 577.5 256.5 1.25 105
SFIX,R 100847812
EFIX,R 100847812 100848019 208 564.4 230.5 2889
SSACC,R 100848020
ESACC,R 100848020 100848038 19 566.7 228.2 654.8 241.2 1.50 109
SFIX,R 100848039
EFIX,R 100848039 100849883 1845 670.3 240.8 2883
SSACC,R 100849884
ESACC,R 100849884 100849894 11 680.5 241.5 702.5 257.7 0.46 48
SFIX,R 100849895
EFIX,R 100849895 100850362 468 707.0 263.5 2758
SSACC,R 100850363
SBLINK,R 100850384
EBLINK,R 100850384 100850513 130
ESACC,R 100850363 100850544 182 708.8 262.1 838.4 583.3 5.89 617
SFIX,R 100850545
EFIX,R 100850545 100851096 552 873.1 425.6 2446
SSACC,R 100851097
ESACC,R 100851097 100851118 22 874.8 406.1 944.5 354.7 1.48 87
SFIX,R 100851119
EFIX,R 100851119 100851424 306 992.8 299.9 2692
SSACC,R 100851425
ESACC,R 100851425 100851489 65 992.0 296.0 439.4 -27.5 10.80 257
SFIX,R 100851490
EFIX,R 100851490 100851971 482 416.1 -27.5 2429
SSACC,R 100851972
ESACC,R 100851972 100852040 69 402.8 -21.0 -38.3 285.5 8.75 194
SFIX,R 100852041
EFIX,R 100852041 100852534 494 -32.1 257.5 3017
SSACC,R 100852535
ESACC,R 100852535 100852659 125 1.7 187.4 26.3 141.3 0.85 286
SFIX,R 100852660
EFIX,R 100852660 100853097 438 -29.1 235.2 3626
SSACC,R 100853098
SBLINK,R 100853159
EBLINK,R 100853159 100853160 2
ESACC,R 100853098 100853474 377 20.9 117.6 -126.9 -142.1 4.83 661
SFIX,R 100853475
EFIX,R 100853475 100854044 570 -127.4 -145.5 3001
SSACC,R 100854045
SBLINK,R 100854066
EBLINK,R 100854066 100854398 333
ESACC,R 100854045 100854414 370 -127.6 -124.7 255.1 -10.2 6.35 164
SFIX,R 100854415
EFIX,R 100854415 100854463 49 257.7 -29.0 3013
SSACC,R 100854464
ESACC,R 100854464 100854532 69 257.8 -17.0 255.5 65.7 1.39 194
SFIX,R 100854533
EFIX,R 100854533 100854642 110 236.7 83.3 3145
SSACC,R 100854643
SBLINK,R 100854714
EBLINK,R 100854714 100854717 4
ESACC,R 100854643 100854746 104 244.2 76.2 260.6 81.2 0.28 270
SFIX,R 100854747
EFIX,R 100854747 100854773 27 257.5 94.0 3186
SSACC,R 100854774
SBLINK,R 100854804
EBLINK,R 100854804 100854871 68
ESACC,R 100854774 100854908 135 251.8 98.5 267.2 182.4 1.43 3060
SFIX,R 100854909
EFIX,R 100854909 100855205 297 257.7 127.0 3541
SSACC,R 100855206
ESACC,R 100855206 100855232 27 254.6 143.3 122.4 151.9 2.15 97
SFIX,R 100855233
EFIX,R 100855233 100855297 65 61.7 155.8 3569
SSACC,R 100855298
SBLINK,R 100855429
EBLINK,R 100855429 100855481 53
ESACC,R 100855298 100855636 339 61.5 155.6 56.5 141.9 0.24 224
SFIX,R 100855637
EFIX,R 100855637 100855764 128 42.9 151.8 3546
SSACC,R 100855765
ESACC,R 100855765 100855770 6 50.9 147.7 59.7 137.1 0.22 42
SFIX,R 100855771
EFIX,R 100855771 100857029 1259 44.5 158.2 3466
SSACC,R 100857030
ESACC,R 100857030 100857037 8 43.7 171.8 52.7 157.4 0.28 41
SFIX,R 100857038
EFIX,R 100857038 100857269 232 86.8 53.6 2948
SSACC,R 100857270
ESACC,R 100857270 100857276 7 104.8 2.3 100.3 19.8 0.30 43
SFIX,R 100857277
EFIX,R 100857277 100857419 143 83.1 49.0 2938
SSACC,R 100857420
ESACC,R 100857420 100857455 36 77.3 97.3 393.3 -87.8 5.99 306
SFIX,R 100857456
EFIX,R 100857456 100857639 184 394.4 -75.0 3362
SSACC,R 100857640
ESACC,R 100857640 100857646 7 394.0 -58.8 404.6 -41.7 0.34 45
SFIX,R 100857647
EFIX,R 100857647 100858120 474 398.5 -52.6 2826
SSACC,R 100858121
ESACC,R 100858121 100858154 34 395.4 -54.3 598.9 169.7 5.09 281
SFIX,R 100858155
EFIX,R 100858155 100858322 168 618.2 147.8 2501
SSACC,R 100858323
SBLINK,R 100858335
EBLINK,R 100858335 100858361 27
ESACC,R 100858323 100858370 48 619.7 108.0 622.1 101.9 0.11 31
SFIX,R 100858371
EFIX,R 100858371 100858515 145 621.0 137.7 2627
SSACC,R 100858516
SBLINK,R 100858526
EBLINK,R 100858526 100860620 2095
ESACC,R 100858516 100860629 2114 619.7 108.0 622.1 101.9 0.11 0
SFIX,R 100860630
EFIX,R 100860630 100860804 175 520.3 118.3 3655
SSACC,R 100860805
ESACC,R 100860805 100860834 30 513.6 143.4 681.3 224.3 3.14 153
SFIX,R 100860835
EFIX,R 100860835 100861410 576 707.1 263.2 3378
SSACC,R 100861411
ESACC,R 100861411 100861423 13 706.1 271.7 673.6 241.6 0.75 72
SFIX,R 100861424
EFIX,R 100861424 100861706 283 655.1 241.0 3492
SSACC,R 100861707
ESACC,R 100861707 100861749 43 656.5 232.0 419.2 -32.8 6.00 212
SFIX,R 100861750
EFIX,R 100861750 100862325 576 410.4 -34.4 2720
SSACC,R 100862326
ESACC,R 100862326 100862345 20 417.0 -37.2 457.2 47.7 1.58 134
SFIX,R 100862346
EFIX,R 100862346 100862669 324 460.6 61.9 2660
SSACC,R 100862670
SBLINK,R 100862688
EBLINK,R 100862688 100862788 101
ESACC,R 100862670 100862820 151 460.7 73.1 555.7 331.9 4.67 451
SFIX,R 100862821
EFIX,R 100862821 100863021 201 574.5 233.2 2615
SSACC,R 100863022
SBLINK,R 100863044
EBLINK,R 100863044 100863176 133
ESACC,R 100863022 100863214 193 569.1 223.6 652.3 398.5 3.29 397
SFIX,R 100863215
EFIX,R 100863215 100863398 184 680.1 259.7 2880
SSACC,R 100863399
ESACC,R 100863399 100863404 6 667.9 242.4 663.4 225.0 0.31 53
SFIX,R 100863405
EFIX,R 100863405 100864094 690 650.5 226.7 3242
SSACC,R 100864095
ESACC,R 100864095 100864148 54 653.4 249.5 660.3 276.2 0.47 563
SFIX,R 100864149
EFIX,R 100864149 100864598 450 644.9 226.7 3362
SSACC,R 100864599
ESACC,R 100864599 100864607 9 651.6 227.9 672.5 221.2 0.37 45
SFIX,R 100864608
EFIX,R 100864608 100865871 1264 689.4 238.2 3108
SSACC,R 100865872
SBLINK,R 100865890
EBLINK,R 100865890 100866046 157
ESACC,R 100865872 100866096 225 677.6 226.0 628.9 274.4 1.17 421
SFIX,R 100866097
EFIX,R 100866097 100866185 89 627.7 240.4 3039
SSACC,R 100866186
ESACC,R 100866186 100866223 38 625.1 246.2 414.6 -35.5 5.94 264
SFIX,R 100866224
EFIX,R 100866224 100866841 618 406.7 -39.0 2308
SSACC,R 100866842
ESACC,R 100866842 100866866 25 400.6 -35.6 559.1 -30.8 2.64 185
SFIX,R 100866867
EFIX,R 100866867 100867444 578 561.9 -25.8 2147
SSACC,R 100867445
ESACC,R 100867445 100867489 45 558.1 -18.2 435.5 224.9 4.60 125
SFIX,R 100867490
EFIX,R 100867490 100868376 887 266.1 341.5 3067
SSACC,R 100868377
ESACC,R 100868377 100868423 47 262.2 337.9 -72.8 -65.1 8.54 266
SFIX,R 100868424
EFIX,R 100868424 100870420 1997 -111.2 -71.6 3065
SSACC,R 100870421
ESACC,R 100870421 100870465 45 -126.7 -64.5 320.7 -53.4 7.12 247
SFIX,R 100870466
EFIX,R 100870466 100870562 97 327.9 -50.2 2937
SSACC,R 100870563
ESACC,R 100870563 100870574 12 329.8 -47.4 375.4 -52.9 0.76 79
SFIX,R 100870575
EFIX,R 100870575 100870627 53 392.4 -50.0 2775
SSACC,R 100870628
ESACC,R 100870628 100870633 6 400.1 -46.5 414.9 -47.5 0.25 40
SFIX,R 100870634
EFIX,R 100870634 100871834 1201 410.5 -36.3 2407
SSACC,R 100871835
ESACC,R 100871835 100871882 48 416.3 -18.8 660.8 216.7 5.72 182
SFIX,R 100871883
EFIX,R 100871883 100873192 1310 677.9 240.1 2888
SSACC,R 100873193
ESACC,R 100873193 100873210 18 674.3 236.7 697.6 178.2 1.08 70
SFIX,R 100873211
EFIX,R 100873211 100873466 256 712.4 162.0 2916
SSACC,R 100873467
ESACC,R 100873467 100873530 64 708.9 144.8 174.6 306.5 9.25 211
SFIX,R 100873531
EFIX,R 100873531 100873613 83 130.4 314.8 3225
SSACC,R 100873614
SBLINK,R 100873631
EBLINK,R 100873631 100873772 142
ESACC,R 100873614 100873798 185 120.3 318.6 47.8 337.9 1.20 332
SFIX,R 100873799
EFIX,R 100873799 100875344 1546 27.5 347.6 3231
SSACC,R 100875345
ESACC,R 100875345 100875386 42 22.3 350.8 323.4 -36.4 8.06 316
SFIX,R 100875387
EFIX,R 100875387 100875542 156 349.8 -56.6 3282
SSACC,R 100875543
ESACC,R 100875543 100875558 16 346.6 -55.6 409.3 -58.4 1.04 96
SFIX,R 100875559
EFIX,R 100875559 100876185 627 402.2 -64.3 2874
SSACC,R 100876186
ESACC,R 100876186 100876236 51 399.0 -61.8 94.0 88.9 5.56 147
SFIX,R 100876237
EFIX,R 100876237 100876824 588 67.5 153.9 3297
SSACC,R 100876825
ESACC,R 100876825 100876868 44 77.7 149.1 -41.9 -123.5 4.86 141
SFIX,R 100876869
EFIX,R 100876869 100877323 455 -64.3 -177.6 2694
SSACC,R 100877324
ESACC,R 100877324 100877353 30 -67.6 -180.9 -178.4 13.6 3.58 186
SFIX,R 100877354
EFIX,R 100877354 100878134 781 -184.5 36.1 2805
SSACC,R 100878135
SBLINK,R 100878157
EBLINK,R 100878157 100878270 114
ESACC,R 100878135 100878306 172 -168.4 38.2 -212.2 113.8 1.40 711
SFIX,R 100878307
EFIX,R 100878307 100879089 783 -207.6 120.8 2783
SSACC,R 100879090
SBLINK,R 100879147
EBLINK,R 100879147 100879459 313
ESACC,R 100879090 100879486 397 -208.3 114.9 -165.7 47.9 1.27 245
SFIX,R 100879487
EFIX,R 100879487 100880053 567 -70.9 130.2 2864
SSACC,R 100880054
ESACC,R 100880054 100880094 41 -62.5 134.2 356.0 -55.2 7.41 299
SFIX,R 100880095
EFIX,R 100880095 100880266 172 386.1 -59.2 2857
SSACC,R 100880267
ESACC,R 100880267 100880272 6 390.8 -55.6 404.7 -56.7 0.23 41
SFIX,R 100880273
EFIX,R 100880273 100881058 786 400.4 -55.5 2174
SSACC,R 100881059
SBLINK,R 100881083
EBLINK,R 100881083 100881248 166
ESACC,R 100881059 100881296 238 393.8 -48.5 -11.3 47.3 6.72 726
SFIX,R 100881297
EFIX,R 100881297 100882428 1132 6.5 66.6 2556
SSACC,R 100882429
ESACC,R 100882429 100882441 13 1.7 63.9 -41.5 68.3 0.68 65
SFIX,R 100882442
EFIX,R 100882442 100882897 456 -50.0 73.5 2565
SSACC,R 100882898
ESACC,R 100882898 100882918 21 -43.7 74.5 -152.4 94.6 1.72 135
SFIX,R 100882919
EFIX,R 100882919 100883338 420 -160.7 101.8 2677
SSACC,R 100883339
ESACC,R 100883339 100883354 16 -157.6 95.8 -160.8 52.6 0.70 51
SFIX,R 100883355
EFIX,R 100883355 100883626 272 -167.7 44.3 2720
SSACC,R 100883627
SBLINK,R 100883651
EBLINK,R 100883651 100883869 219
ESACC,R 100883627 100883919 293 -168.9 48.1 -38.5 88.8 2.13 618
SFIX,R 100883920
EFIX,R 100883920 100885910 1991 -36.8 89.8 2918
SSACC,R 100885911
ESACC,R 100885911 100885972 62 -27.3 84.6 513.5 218.6 9.05 224
SFIX,R 100885973
EFIX,R 100885973 100886391 419 513.3 234.7 3528
SSACC,R 100886392
ESACC,R 100886392 100886417 26 508.2 234.4 677.4 238.9 2.85 199
SFIX,R 100886418
EFIX,R 100886418 100886930 513 686.0 233.0 3563
SSACC,R 100886931
SBLINK,R 100886953
EBLINK,R 100886953 100887051 99
ESACC,R 100886931 100887094 164 686.8 234.4 736.3 335.5 1.92 679
SFIX,R 100887095
EFIX,R 100887095 100887462 368 751.0 243.0 3111
SSACC,R 100887463
SBLINK,R 100887481
EBLINK,R 100887481 100887587 107
ESACC,R 100887463 100887608 146 748.8 240.4 598.6 589.5 6.45 393
SFIX,R 100887609
EFIX,R 100887609 100887928 320 614.2 449.3 3466
SSACC,R 100887929
ESACC,R 100887929 100887946 18 619.5 440.3 568.2 392.1 1.19 95
SFIX,R 100887947
EFIX,R 100887947 100888713 767 554.5 393.3 3475
SSACC,R 100888714
ESACC,R 100888714 100888743 30 534.7 410.8 426.3 546.6 2.92 127
SFIX,R 100888744
EFIX,R 100888744 100889015 272 374.6 580.7 3048
SSACC,R 100889016
ESACC,R 100889016 100889053 38 378.0 583.9 461.8 345.6 4.24 160
SFIX,R 100889054
EFIX,R 100889054 100889580 527 524.1 308.9 3186
SSACC,R 100889581
ESACC,R 100889581 100889611 31 527.7 306.8 675.6 241.5 2.73 126
SFIX,R 100889612
EFIX,R 100889612 100890285 674 711.0 232.1 3531
SSACC,R 100890286
ESACC,R 100890286 100890306 21 711.2 230.7 621.1 263.9 1.63 132
SFIX,R 100890307
EFIX,R 100890307 100890789 483 612.0 271.3 3685
SSACC,R 100890790
ESACC,R 100890790 100890817 28 611.6 274.1 799.3 235.6 3.25 214
SFIX,R 100890818
EFIX,R 100890818 100891541 724 793.0 251.6 3186
SSACC,R 100891542
ESACC,R 100891542 100891561 20 793.1 260.5 801.5 340.4 1.38 121
SFIX,R 100891562
EFIX,R 100891562 100891692 131 798.3 331.8 3008
SSACC,R 100891693
ESACC,R 100891693 100891711 19 797.8 331.7 812.6 257.1 1.30 117
SFIX,R 100891712
EFIX,R 100891712 100892229 518 810.6 257.1 3074
SSACC,R 100892230
SBLINK,R 100892253
EBLINK,R 100892253 100892313 61
ESACC,R 100892230 100892354 125 808.8 262.5 731.6 312.8 1.57 913
SFIX,R 100892355
EFIX,R 100892355 100892454 100 738.0 252.9 2918
SSACC,R 100892455
ESACC,R 100892455 100892478 24 731.5 262.8 608.5 287.2 2.12 140
SFIX,R 100892479
EFIX,R 100892479 100892833 355 593.4 287.6 3055
SSACC,R 100892834
ESACC,R 100892834 100892861 28 593.5 285.3 406.7 283.6 3.12 197
SFIX,R 100892862
EFIX,R 100892862 100893093 232 397.8 286.9 3224
SSACC,R 100893094
ESACC,R 100893094 100893127 34 395.6 288.2 210.7 523.4 4.97 259
SFIX,R 100893128
EFIX,R 100893128 100893359 232 204.5 530.7 3151
SSACC,R 100893360
ESACC,R 100893360 100893438 79 203.3 530.4 603.5 279.4 7.84 177
SFIX,R 100893439
EFIX,R 100893439 100893936 498 605.8 275.2 3155
SSACC,R 100893937
ESACC,R 100893937 100893962 26 602.5 274.9 772.7 297.7 2.91 214
SFIX,R 100893963
EFIX,R 100893963 100894163 201 779.0 301.0 2864
SSACC,R 100894164
ESACC,R 100894164 100894178 15 781.7 303.7 802.7 353.7 0.93 91
SFIX,R 100894179
EFIX,R 100894179 100895240 1062 806.3 325.5 3022
SSACC,R 100895241
ESACC,R 100895241 100895252 12 810.2 304.6 802.9 344.2 0.69 73
SFIX,R 100895253
EFIX,R 100895253 100895726 474 806.1 340.2 2996
SSACC,R 100895727
ESACC,R 100895727 100895741 15 806.5 340.3 818.0 292.5 0.84 82
SFIX,R 100895742
EFIX,R 100895742 100896093 352 817.0 300.6 2922
SSACC,R 100896094
ESACC,R 100896094 100896107 14 814.3 298.2 800.3 344.5 0.83 80
SFIX,R 100896108
EFIX,R 100896108 100896423 316 801.8 342.6 2909
SSACC,R 100896424
ESACC,R 100896424 100896438 15 803.1 340.6 810.2 293.8 0.81 63
SFIX,R 100896439
EFIX,R 100896439 100896716 278 812.4 292.9 2841
SSACC,R 100896717
SBLINK,R 100896750
EBLINK,R 100896750 100896823 74
ESACC,R 100896717 100896856 140 812.4 295.5 263.1 -1.0 10.43 603
SFIX,R 100896857
EFIX,R 100896857 100897120 264 250.7 -0.8 2443
SSACC,R 100897121
ESACC,R 100897121 100897153 33 244.8 2.5 366.7 281.8 5.10 277
SFIX,R 100897154
EFIX,R 100897154 100897324 171 374.4 291.3 2046
SSACC,R 100897325
ESACC,R 100897325 100897362 38 376.1 292.5 743.1 286.6 6.15 281
SFIX,R 100897363
EFIX,R 100897363 100897893 531 749.3 273.9 2398
SSACC,R 100897894
ESACC,R 100897894 100897910 17 751.8 266.8 808.0 308.1 1.19 111
SFIX,R 100897911
EFIX,R 100897911 100899017 1107 809.2 297.3 2810
SSACC,R 100899018
ESACC,R 100899018 100899023 6 809.0 298.6 818.7 308.4 0.24 40
SFIX,R 100899024
EFIX,R 100899024 100899559 536 816.0 311.2 2727
SSACC,R 100899560
ESACC,R 100899560 100899575 16 815.9 308.0 764.7 271.5 1.07 96
SFIX,R 100899576
EFIX,R 100899576 100899751 176 764.6 272.0 2914
SSACC,R 100899752
ESACC,R 100899752 100899772 21 763.3 270.6 810.2 344.8 1.50 118
SFIX,R 100899773
EFIX,R 100899773 100900733 961 808.0 337.7 2913
SSACC,R 100900734
ESACC,R 100900734 100900742 9 805.6 335.8 810.4 307.4 0.49 58
SFIX,R 100900743
EFIX,R 100900743 100901314 572 810.3 308.7 2854
SSACC,R 100901315
SBLINK,R 100901343
EBLINK,R 100901343 100901420 78
ESACC,R 100901315 100901461 147 812.2 306.4 438.2 255.4 6.35 513
SFIX,R 100901462
EFIX,R 100901462 100901586 125 431.6 258.5 2801
SSACC,R 100901587
ESACC,R 100901587 100901600 14 426.6 262.9 380.7 283.8 0.84 76
SFIX,R 100901601
EFIX,R 100901601 100901814 214 373.9 286.4 2785
SSACC,R 100901815
ESACC,R 100901815 100901849 35 374.7 285.2 426.3 -17.3 5.18 266
SFIX,R 100901850
EFIX,R 100901850 100902160 311 427.8 -28.9 2570
SSACC,R 100902161
