event_type,fields
SFIX,R 187324545
EFIX,R 187324545 187324577 33 350.0 329.7 2450
SSACC,R 187324578
SBLINK,R 187324588
EBLINK,R 187324588 187324768 181
ESACC,R 187324578 187324850 273 472.6 157.9 232.3 593.8 8.31 274
SFIX,R 187324851
EFIX,R 187324851 187325263 413 227.2 595.1 3627
SSACC,R 187325264
ESACC,R 187325264 187325351 88 232.4 583.6 369.2 323.6 4.89 118
SFIX,R 187325352
EFIX,R 187325352 187325377 26 364.9 306.6 2979
SSACC,R 187325378
ESACC,R 187325378 187325535 158 377.1 293.9 362.8 323.3 0.55 164
SFIX,R 187325536
EFIX,R 187325536 187325559 24 357.1 334.6 3008
SSACC,R 187325560
ESACC,R 187325560 187325685 126 344.9 349.8 1385.2 1008.1 20.21 420
SFIX,R 187325686
EFIX,R 187325686 187326172 487 1398.4 1028.5 3474
SSACC,R 187326173
ESACC,R 187326173 187326194 22 1408.8 1017.7 1486.5 1095.2 1.76 150
SFIX,R 187326195
EFIX,R 187326195 187326554 360 1486.2 1094.1 3543
SSACC,R 187326555
ESACC,R 187326555 187326586 32 1489.6 1095.9 1496.9 1035.9 0.96 142
SFIX,R 187326587
EFIX,R 187326587 187327461 875 1491.8 1040.5 3524
SSACC,R 187327462
SBLINK,R 187327481
EBLINK,R 187327481 187327619 139
ESACC,R 187327462 187327667 206 1493.2 1052.4 1412.2 601.9 7.48 727
SFIX,R 187327668
EFIX,R 187327668 187328847 1180 1391.6 636.4 3038
SSACC,R 187328848
ESACC,R 187328848 187328866 19 1387.7 650.6 1308.3 650.0 1.32 89
SFIX,R 187328867
EFIX,R 187328867 187328984 118 1275.4 651.5 3120
SSACC,R 187328985
ESACC,R 187328985 187328996 12 1269.4 654.9 1232.8 654.0 0.61 58
SFIX,R 187328997
EFIX,R 187328997 187329671 675 1204.6 660.2 3102
SSACC,R 187329672
ESACC,R 187329672 187329722 51 1195.6 665.5 1682.1 1065.8 10.26 425
SFIX,R 187329723
EFIX,R 187329723 187330585 863 1675.9 1052.9 2963
SSACC,R 187330586
ESACC,R 187330586 187330666 81 1670.0 1028.4 519.7 725.8 19.28 372
SFIX,R 187330667
EFIX,R 187330667 187331102 436 473.6 718.8 3869
SSACC,R 187331103
ESACC,R 187331103 187331205 103 460.0 730.3 615.2 429.5 5.67 139
SFIX,R 187331206
EFIX,R 187331206 187331222 17 625.5 409.6 3554
SSACC,R 187331223
ESACC,R 187331223 187331352 130 636.8 397.0 704.4 295.4 2.08 135
SFIX,R 187331353
EFIX,R 187331353 187331394 42 696.3 318.8 3045
SSACC,R 187331395
SBLINK,R 187331405
EBLINK,R 187331405 187331410 6
ESACC,R 187331395 187331419 25 636.8 397.0 704.4 295.4 2.08 0
SFIX,R 187331420
EFIX,R 187331420 187331452 33 673.7 362.8 3075
SSACC,R 187331453
ESACC,R 187331453 187331460 8 645.1 387.6 628.5 413.5 0.52 83
SFIX,R 187331461
EFIX,R 187331461 187331490 30 598.4 448.1 3342
SSACC,R 187331491
ESACC,R 187331491 187331627 137 584.5 494.2 571.9 448.1 0.81 123
SFIX,R 187331628
EFIX,R 187331628 187332003 376 583.7 453.4 3283
SSACC,R 187332004
SBLINK,R 187332015
EBLINK,R 187332015 187332143 129
ESACC,R 187332004 187332154 151 620.0 417.4 636.5 419.2 0.28 64
SFIX,R 187332155
EFIX,R 187332155 187332193 39 611.0 428.7 3000
SSACC,R 187332194
ESACC,R 187332194 187332251 58 584.7 430.8 514.9 600.8 3.10 87
SFIX,R 187332252
EFIX,R 187332252 187332294 43 523.9 583.5 3378
SSACC,R 187332295
ESACC,R 187332295 187332316 22 541.3 566.7 573.5 479.8 1.56 89
SFIX,R 187332317
EFIX,R 187332317 187332379 63 603.9 450.7 2966
SSACC,R 187332380
ESACC,R 187332380 187332439 60 614.2 411.7 586.4 410.0 0.47 72
SFIX,R 187332440
EFIX,R 187332440 187332497 58 581.3 417.4 2911
SSACC,R 187332498
ESACC,R 187332498 187332513 16 572.3 417.6 597.3 398.8 0.53 79
SFIX,R 187332514
EFIX,R 187332514 187332563 50 602.6 403.7 2853
SSACC,R 187332564
SBLINK,R 187332619
EBLINK,R 187332619 187332839 221
ESACC,R 187332564 187332848 285 604.9 400.8 535.1 88.1 5.45 325
SFIX,R 187332849
EFIX,R 187332849 187332895 47 336.9 101.7 978
SSACC,R 187332896
ESACC,R 187332896 187332941 46 326.7 98.6 292.7 79.3 0.65 171
SFIX,R 187332942
EFIX,R 187332942 187332977 36 307.2 85.2 1036
SSACC,R 187332978
ESACC,R 187332978 187332986 9 321.1 89.4 300.2 66.0 0.52 88
SFIX,R 187332987
EFIX,R 187332987 187333027 41 306.5 76.0 1052
SSACC,R 187333028
SBLINK,R 187333048
EBLINK,R 187333048 187334728 1681
ESACC,R 187333028 187334842 1815 306.9 72.2 319.8 1574.0 23.39 194
SFIX,R 187334843
EFIX,R 187334843 187335028 186 312.1 1603.6 4040
SSACC,R 187335029
SBLINK,R 187335052
EBLINK,R 187335052 187335204 153
ESACC,R 187335029 187335252 224 311.1 1637.1 1256.1 1659.9 14.50 375
SFIX,R 187335253
EFIX,R 187335253 187335274 22 1267.2 1603.1 3587
SSACC,R 187335275
ESACC,R 187335275 187335286 12 1275.3 1552.5 1290.3 1487.3 0.99 103
SFIX,R 187335287
EFIX,R 187335287 187335651 365 1295.1 1529.6 3717
SSACC,R 187335652
ESACC,R 187335652 187335684 33 1291.3 1547.1 1513.3 1132.9 7.21 532
SFIX,R 187335685
EFIX,R 187335685 187335965 281 1507.4 1168.2 3722
SSACC,R 187335966
ESACC,R 187335966 187335986 21 1507.1 1168.9 1502.1 1065.5 1.63 155
SFIX,R 187335987
EFIX,R 187335987 187336151 165 1506.5 1078.8 3706
SSACC,R 187336152
ESACC,R 187336152 187336291 140 1515.3 1097.0 627.3 568.7 16.93 929
SFIX,R 187336292
EFIX,R 187336292 187337007 716 577.0 558.8 3262
SSACC,R 187337008
SBLINK,R 187337029
EBLINK,R 187337029 187337121 93
ESACC,R 187337008 187337163 156 575.3 567.5 93.4 366.9 8.56 1120
SFIX,R 187337164
EFIX,R 187337164 187337956 793 98.4 368.8 3048
SSACC,R 187337957
ESACC,R 187337957 187338005 49 113.6 373.2 -211.9 782.9 8.33 345
SFIX,R 187338006
EFIX,R 187338006 187339582 1577 -216.1 805.9 3301
SSACC,R 187339583
ESACC,R 187339583 187339664 82 -216.5 810.8 1121.1 917.2 21.17 487
SFIX,R 187339665
EFIX,R 187339665 187340679 1015 1106.1 938.2 3398
SSACC,R 187340680
ESACC,R 187340680 187340703 24 1081.0 895.4 975.1 892.9 1.77 95
SFIX,R 187340704
EFIX,R 187340704 187340955 252 904.4 906.0 3917
SSACC,R 187340956
ESACC,R 187340956 187341135 180 916.3 919.3 185.7 179.2 17.15 423
SFIX,R 187341136
EFIX,R 187341136 187343179 2044 112.9 179.6 2743
SSACC,R 187343180
SBLINK,R 187343215
EBLINK,R 187343215 187343364 150
ESACC,R 187343180 187343586 407 97.4 188.7 95.0 225.7 0.62 1096
SFIX,R 187343587
EFIX,R 187343587 187343773 187 114.9 223.9 1707
SSACC,R 187343774
ESACC,R 187343774 187343926 153 133.9 213.0 225.4 227.5 1.50 236
SFIX,R 187343927
EFIX,R 187343927 187343955 29 224.0 214.8 2008
SSACC,R 187343956
ESACC,R 187343956 187344028 73 219.3 194.9 234.2 183.9 0.30 101
SFIX,R 187344029
EFIX,R 187344029 187344073 45 244.6 199.8 2097
SSACC,R 187344074
ESACC,R 187344074 187344213 140 239.0 217.0 244.5 232.6 0.28 206
SFIX,R 187344214
EFIX,R 187344214 187344475 262 249.6 253.8 2049
SSACC,R 187344476
ESACC,R 187344476 187344492 17 248.3 267.3 244.8 267.0 0.06 94
SFIX,R 187344493
EFIX,R 187344493 187344529 37 235.8 249.0 1977
SSACC,R 187344530
ESACC,R 187344530 187344553 24 240.6 251.3 241.0 260.9 0.16 77
SFIX,R 187344554
EFIX,R 187344554 187344651 98 244.6 255.4 1994
SSACC,R 187344652
ESACC,R 187344652 187344735 84 241.7 236.0 239.9 238.6 0.05 72
SFIX,R 187344736
EFIX,R 187344736 187344851 116 240.5 245.3 1980
SSACC,R 187344852
ESACC,R 187344852 187345401 550 243.7 239.6 201.8 37.1 3.46 196
SFIX,R 187345402
EFIX,R 187345402 187345454 53 208.2 41.5 1646
SSACC,R 187345455
ESACC,R 187345455 187345461 7 216.3 70.5 207.0 41.2 0.51 90
SFIX,R 187345462
EFIX,R 187345462 187345497 36 203.2 36.5 1638
SSACC,R 187345498
ESACC,R 187345498 187345585 88 204.5 43.1 197.9 43.6 0.11 112
SFIX,R 187345586
EFIX,R 187345586 187345637 52 198.7 39.9 1624
SSACC,R 187345638
ESACC,R 187345638 187345729 92 214.0 57.3 189.7 30.1 0.60 176
SFIX,R 187345730
EFIX,R 187345730 187345835 106 197.3 52.1 1659
SSACC,R 187345836
SBLINK,R 187346052
EBLINK,R 187346052 187346284 233
ESACC,R 187345836 187346583 748 223.1 92.8 468.0 350.9 5.93 217
SFIX,R 187346584
EFIX,R 187346584 187347446 863 514.1 307.1 2239
SSACC,R 187347447
SBLINK,R 187347543
EBLINK,R 187347543 187348166 624
ESACC,R 187347447 187348216 770 463.6 370.7 347.9 730.3 6.30 378
SFIX,R 187348217
EFIX,R 187348217 187348558 342 344.4 753.9 3771
SSACC,R 187348559
ESACC,R 187348559 187348729 171 330.7 760.5 1063.3 1462.4 16.13 422
SFIX,R 187348730
EFIX,R 187348730 187349205 476 1116.7 1482.0 3573
SSACC,R 187349206
ESACC,R 187349206 187349247 42 1133.7 1438.7 1135.7 1427.3 0.17 63
SFIX,R 187349248
EFIX,R 187349248 187349316 69 1137.2 1436.8 3704
SSACC,R 187349317
SBLINK,R 187349410
EBLINK,R 187349410 187349659 250
ESACC,R 187349317 187349757 441 1133.3 1438.4 1541.1 1266.4 6.98 1188
SFIX,R 187349758
EFIX,R 187349758 187349824 67 1570.2 1150.7 3427
SSACC,R 187349825
ESACC,R 187349825 187349862 38 1592.5 1074.7 1514.6 1112.5 1.38 109
SFIX,R 187349863
EFIX,R 187349863 187349883 21 1519.1 1084.4 3785
SSACC,R 187349884
ESACC,R 187349884 187350209 326 1529.4 1056.5 1523.6 1152.7 1.52 517
SFIX,R 187350210
EFIX,R 187350210 187350235 26 1525.7 1151.9 3777
SSACC,R 187350236
ESACC,R 187350236 187350242 7 1527.6 1116.7 1528.0 1093.5 0.37 54
SFIX,R 187350243
EFIX,R 187350243 187350816 574 1512.1 1129.2 3754
SSACC,R 187350817
ESACC,R 187350817 187350917 101 1511.1 1192.0 1300.5 709.1 8.51 1099
SFIX,R 187350918
EFIX,R 187350918 187351333 416 1295.6 703.3 3103
SSACC,R 187351334
ESACC,R 187351334 187351378 45 1291.5 730.1 1036.8 176.2 10.30 389
SFIX,R 187351379
EFIX,R 187351379 187351944 566 1025.1 136.3 2834
SSACC,R 187351945
ESACC,R 187351945 187351992 48 1040.4 126.0 1086.1 522.8 6.82 246
SFIX,R 187351993
EFIX,R 187351993 187352246 254 1073.1 572.3 3147
SSACC,R 187352247
SBLINK,R 187352268
EBLINK,R 187352268 187352394 127
ESACC,R 187352247 187352441 195 1071.7 586.5 1545.0 914.6 9.53 1166
SFIX,R 187352442
EFIX,R 187352442 187353597 1156 1524.6 889.9 3157
SSACC,R 187353598
ESACC,R 187353598 187353633 36 1509.5 868.7 1605.9 1123.7 4.36 319
SFIX,R 187353634
EFIX,R 187353634 187353888 255 1616.8 1137.0 3329
SSACC,R 187353889
ESACC,R 187353889 187353908 20 1618.6 1146.4 1525.5 1139.9 1.48 86
SFIX,R 187353909
EFIX,R 187353909 187354814 906 1524.5 1140.8 3443
SSACC,R 187354815
SBLINK,R 187354830
EBLINK,R 187354830 187355036 207
ESACC,R 187354815 187355101 287 1520.7 1147.8 1661.0 1208.9 2.42 292
SFIX,R 187355102
EFIX,R 187355102 187355266 165 1640.4 1214.0 3067
SSACC,R 187355267
ESACC,R 187355267 187355291 25 1633.8 1221.9 1574.3 1117.7 1.88 101
SFIX,R 187355292
EFIX,R 187355292 187355633 342 1556.5 1129.3 3160
SSACC,R 187355634
ESACC,R 187355634 187355645 12 1553.0 1113.5 1514.0 1099.5 0.66 67
SFIX,R 187355646
EFIX,R 187355646 187357506 1861 1485.8 1098.4 3334
SSACC,R 187357507
ESACC,R 187357507 187357622 116 1476.1 1112.3 279.7 929.4 19.42 356
SFIX,R 187357623
EFIX,R 187357623 187357906 284 276.8 905.1 3693
SSACC,R 187357907
SBLINK,R 187357923
EBLINK,R 187357923 187358371 449
ESACC,R 187357907 187358427 521 268.1 882.0 182.1 766.1 2.33 775
SFIX,R 187358428
EFIX,R 187358428 187358548 121 176.2 730.1 3749
SSACC,R 187358549
ESACC,R 187358549 187358576 28 174.6 740.3 234.0 651.6 1.74 113
SFIX,R 187358577
EFIX,R 187358577 187358669 93 291.5 537.3 3601
SSACC,R 187358670
SBLINK,R 187358683
EBLINK,R 187358683 187358739 57
ESACC,R 187358670 187358748 79 356.1 377.1 356.1 378.0 0.02 51
SFIX,R 187358749
EFIX,R 187358749 187358777 29 343.6 398.5 3206
SSACC,R 187358778
ESACC,R 187358778 187358788 11 333.8 405.4 312.7 443.3 0.72 88
SFIX,R 187358789
EFIX,R 187358789 187358852 64 300.7 477.1 3435
SSACC,R 187358853
ESACC,R 187358853 187358999 147 287.8 498.3 281.0 467.5 0.53 136
SFIX,R 187359000
EFIX,R 187359000 187359073 74 274.4 482.3 3177
SSACC,R 187359074
ESACC,R 187359074 187359090 17 283.2 480.5 259.5 415.4 1.16 123
SFIX,R 187359091
EFIX,R 187359091 187359113 23 275.3 429.0 2892
SSACC,R 187359114
ESACC,R 187359114 187359273 160 298.6 432.7 275.0 315.4 2.01 158
SFIX,R 187359274
EFIX,R 187359274 187359337 64 305.8 306.0 2549
SSACC,R 187359338
ESACC,R 187359338 187359410 73 331.7 285.6 -53.0 -66.7 8.50 220
SFIX,R 187359411
EFIX,R 187359411 187359803 393 -48.7 -63.4 2759
SSACC,R 187359804
ESACC,R 187359804 187359880 77 -46.7 -58.7 699.2 398.5 14.31 354
SFIX,R 187359881
EFIX,R 187359881 187360042 162 687.7 408.9 3303
SSACC,R 187360043
ESACC,R 187360043 187360060 18 687.6 402.1 678.3 412.4 0.24 61
SFIX,R 187360061
EFIX,R 187360061 187360407 347 691.2 411.7 3080
SSACC,R 187360408
ESACC,R 187360408 187360425 18 704.2 390.8 701.3 400.5 0.17 47
SFIX,R 187360426
EFIX,R 187360426 187360620 195 694.9 413.5 3075
SSACC,R 187360621
ESACC,R 187360621 187360649 29 660.4 451.3 769.7 344.4 2.60 152
SFIX,R 187360650
EFIX,R 187360650 187361625 976 768.8 313.9 2993
SSACC,R 187361626
SBLINK,R 187361648
EBLINK,R 187361648 187361774 127
ESACC,R 187361626 187361835 210 776.5 311.0 1467.3 1101.0 17.31 1765
SFIX,R 187361836
EFIX,R 187361836 187362104 269 1458.6 1179.6 3515
SSACC,R 187362105
SBLINK,R 187362128
EBLINK,R 187362128 187362285 158
ESACC,R 187362105 187362429 325 1458.1 1165.3 2095.8 819.6 11.31 553
SFIX,R 187362430
EFIX,R 187362430 187362777 348 2081.7 879.7 3219
SSACC,R 187362778
ESACC,R 187362778 187362803 26 2082.8 919.9 1942.7 970.3 2.27 163
SFIX,R 187362804
EFIX,R 187362804 187363321 518 1953.8 987.8 3272
SSACC,R 187363322
SBLINK,R 187363343
EBLINK,R 187363343 187363471 129
ESACC,R 187363322 187363536 215 1946.9 975.0 1621.0 908.4 5.22 417
SFIX,R 187363537
EFIX,R 187363537 187364005 469 1614.1 978.0 3005
SSACC,R 187364006
ESACC,R 187364006 187364032 27 1617.5 983.0 1724.5 862.3 2.58 170
SFIX,R 187364033
EFIX,R 187364033 187364465 433 1750.7 844.0 3055
SSACC,R 187364466
ESACC,R 187364466 187364572 107 1744.7 848.2 548.1 340.7 21.27 320
SFIX,R 187364573
EFIX,R 187364573 187365523 951 522.9 354.9 2717
SSACC,R 187365524
ESACC,R 187365524 187365612 89 519.8 359.2 1286.5 931.7 15.91 295
SFIX,R 187365613
EFIX,R 187365613 187366646 1034 1293.0 932.0 2851
SSACC,R 187366647
SBLINK,R 187366665
EBLINK,R 187366665 187366922 258
ESACC,R 187366647 187366976 330 1293.3 927.8 1362.4 873.5 1.44 417
SFIX,R 187366977
EFIX,R 187366977 187369451 2475 1339.5 866.2 2883
SSACC,R 187369452
ESACC,R 187369452 187369500 49 1338.8 851.5 1795.3 781.6 7.47 243
SFIX,R 187369501
EFIX,R 187369501 187369775 275 1818.4 780.9 2926
SSACC,R 187369776
ESACC,R 187369776 187369862 87 1818.7 770.1 779.2 768.5 16.90 335
SFIX,R 187369863
EFIX,R 187369863 187370760 898 742.6 766.1 3786
SSACC,R 187370761
SBLINK,R 187370797
EBLINK,R 187370797 187370890 94
ESACC,R 187370761 187370996 236 742.6 755.2 133.3 694.5 10.00 667
SFIX,R 187370997
EFIX,R 187370997 187371046 50 131.2 674.0 3858
SSACC,R 187371047
ESACC,R 187371047 187371077 31 142.0 665.3 197.3 558.9 1.96 115
SFIX,R 187371078
EFIX,R 187371078 187371126 49 241.7 481.0 3533
SSACC,R 187371127
SBLINK,R 187371203
EBLINK,R 187371203 187371659 457
ESACC,R 187371127 187371668 542 263.4 414.4 295.6 332.5 1.47 131
SFIX,R 187371669
EFIX,R 187371669 187371714 46 137.8 716.0 3817
SSACC,R 187371715
ESACC,R 187371715 187371811 97 135.7 728.2 194.7 442.1 4.80 148
SFIX,R 187371812
EFIX,R 187371812 187371869 58 212.6 429.8 2983
SSACC,R 187371870
SBLINK,R 187371880
EBLINK,R 187371880 187371953 74
ESACC,R 187371870 187372003 134 64.9 130.6 -113.3 -16.5 3.70 185
SFIX,R 187372004
EFIX,R 187372004 187372268 265 -112.6 -26.7 3042
SSACC,R 187372269
ESACC,R 187372269 187372288 20 -88.9 -32.4 -38.7 -96.3 1.30 94
SFIX,R 187372289
EFIX,R 187372289 187372406 118 -40.4 -94.0 2687
SSACC,R 187372407
ESACC,R 187372407 187372448 42 -43.1 -93.5 280.3 -285.0 6.03 434
SFIX,R 187372449
EFIX,R 187372449 187373198 750 287.0 -304.4 2948
SSACC,R 187373199
ESACC,R 187373199 187373292 94 287.2 -317.8 1157.9 733.9 22.58 434
SFIX,R 187373293
EFIX,R 187373293 187373353 61 1152.1 762.3 3072
SSACC,R 187373354
ESACC,R 187373354 187373427 74 1136.8 791.4 1145.7 1022.2 3.78 128
SFIX,R 187373428
EFIX,R 187373428 187373461 34 1141.6 1005.4 4049
SSACC,R 187373462
ESACC,R 187373462 187373472 11 1142.1 1008.6 1135.1 970.4 0.63 68
SFIX,R 187373473
EFIX,R 187373473 187373660 188 1149.3 976.3 3397
SSACC,R 187373661
ESACC,R 187373661 187373707 47 1162.6 985.6 1148.4 1310.8 5.15 172
SFIX,R 187373708
EFIX,R 187373708 187373964 257 1114.0 1378.2 3543
SSACC,R 187373965
ESACC,R 187373965 187374009 45 1099.6 1373.1 554.1 1932.2 11.64 456
SFIX,R 187374010
EFIX,R 187374010 187374272 263 515.0 1989.8 3447
SSACC,R 187374273
SBLINK,R 187374340
EBLINK,R 187374340 187374814 475
ESACC,R 187374273 187374881 609 512.0 2012.5 1358.5 1250.4 16.96 364
SFIX,R 187374882
EFIX,R 187374882 187374913 32 1378.1 1243.9 3330
SSACC,R 187374914
SBLINK,R 187374924
EBLINK,R 187374924 187374988 65
ESACC,R 187374914 187374997 84 1397.6 1239.3 1404.2 1230.7 0.17 37
SFIX,R 187374998
EFIX,R 187374998 187375068 71 1401.5 1223.4 3198
SSACC,R 187375069
ESACC,R 187375069 187375091 23 1401.7 1233.4 1573.9 1203.0 2.78 256
SFIX,R 187375092
EFIX,R 187375092 187375225 134 1589.1 1206.6 3186
SSACC,R 187375226
ESACC,R 187375226 187375246 21 1590.9 1194.2 1496.1 1159.9 1.60 114
SFIX,R 187375247
EFIX,R 187375247 187375865 619 1478.8 1144.0 3399
SSACC,R 187375866
ESACC,R 187375866 187375885 20 1469.4 1146.3 1539.8 1118.5 1.21 113
SFIX,R 187375886
EFIX,R 187375886 187376413 528 1552.9 1128.1 3422
SSACC,R 187376414
ESACC,R 187376414 187376437 24 1551.6 1133.7 1643.7 1208.3 1.86 134
SFIX,R 187376438
EFIX,R 187376438 187376872 435 1674.0 1245.2 3307
SSACC,R 187376873
SBLINK,R 187376888
EBLINK,R 187376888 187377128 241
ESACC,R 187376873 187377192 320 1668.9 1251.3 1607.6 1131.8 2.09 503
SFIX,R 187377193
EFIX,R 187377193 187377562 370 1589.9 1166.1 2900
SSACC,R 187377563
ESACC,R 187377563 187377581 19 1586.5 1160.7 1520.4 1137.9 1.11 66
SFIX,R 187377582
EFIX,R 187377582 187378027 446 1505.3 1125.6 3340
SSACC,R 187378028
ESACC,R 187378028 187378042 15 1504.7 1117.0 1549.6 1098.5 0.78 68
SFIX,R 187378043
EFIX,R 187378043 187378181 139 1567.5 1102.9 3254
SSACC,R 187378182
ESACC,R 187378182 187378202 21 1565.9 1099.1 1500.7 1187.0 1.73 122
SFIX,R 187378203
EFIX,R 187378203 187378779 577 1485.9 1189.9 3292
SSACC,R 187378780
ESACC,R 187378780 187378789 10 1485.7 1196.1 1455.1 1191.3 0.50 56
SFIX,R 187378790
EFIX,R 187378790 187379331 542 1430.6 1167.8 3244
SSACC,R 187379332
ESACC,R 187379332 187379351 20 1429.0 1163.9 1452.1 1237.1 1.20 117
SFIX,R 187379352
EFIX,R 187379352 187379649 298 1447.5 1244.9 3220
SSACC,R 187379650
ESACC,R 187379650 187379659 10 1451.5 1240.9 1459.9 1214.3 0.43 54
SFIX,R 187379660
EFIX,R 187379660 187380812 1153 1467.8 1188.6 3327
SSACC,R 187380813
ESACC,R 187380813 187380819 7 1474.0 1200.0 1489.4 1186.5 0.32 47
SFIX,R 187380820
EFIX,R 187380820 187380915 96 1548.3 1177.8 3206
SSACC,R 187380916
ESACC,R 187380916 187380922 7 1587.1 1234.3 1584.2 1215.0 0.30 57
SFIX,R 187380923
EFIX,R 187380923 187381971 1049 1573.7 1180.7 3154
SSACC,R 187381972
ESACC,R 187381972 187381991 20 1568.1 1183.3 1548.5 1116.9 1.09 61
SFIX,R 187381992
EFIX,R 187381992 187386070 4079 1532.9 1113.7 3175
SSACC,R 187386071
ESACC,R 187386071 187386091 21 1531.4 1111.8 1503.6 1217.1 1.71 125
SFIX,R 187386092
EFIX,R 187386092 187386177 86 1502.9 1205.0 3247
SSACC,R 187386178
ESACC,R 187386178 187386185 8 1504.8 1203.6 1517.8 1181.6 0.40 53
SFIX,R 187386186
EFIX,R 187386186 187386685 500 1513.2 1169.6 3209
SSACC,R 187386686
ESACC,R 187386686 187386695 10 1512.5 1171.0 1493.5 1153.7 0.41 45
SFIX,R 187386696
EFIX,R 187386696 187391770 5075 1484.6 1118.1 3258
SSACC,R 187391771
SBLINK,R 187391787
EBLINK,R 187391787 187394949 3163
ESACC,R 187391771 187395075 3305 1476.7 1133.9 1581.3 825.0 5.23 333
SFIX,R 187395076
EFIX,R 187395076 187395628 553 1556.4 651.7 3671
SSACC,R 187395629
ESACC,R 187395629 187395709 81 1547.2 652.8 340.5 879.4 20.00 410
SFIX,R 187395710
EFIX,R 187395710 187396102 393 328.8 834.8 4242
SSACC,R 187396103
ESACC,R 187396103 187396164 62 332.2 795.6 411.1 647.3 2.77 154
SFIX,R 187396165
EFIX,R 187396165 187396206 42 410.7 652.9 4294
SSACC,R 187396207
ESACC,R 187396207 187396280 74 422.0 633.1 560.4 319.9 5.75 132
SFIX,R 187396281
EFIX,R 187396281 187396381 101 578.7 334.8 3542
SSACC,R 187396382
ESACC,R 187396382 187396522 141 560.9 332.4 450.1 580.5 4.58 161
SFIX,R 187396523
EFIX,R 187396523 187396604 82 439.7 578.5 4026
SSACC,R 187396605
ESACC,R 187396605 187396622 18 420.6 619.2 399.9 673.1 0.96 84
SFIX,R 187396623
EFIX,R 187396623 187396718 96 397.0 695.1 4202
SSACC,R 187396719
ESACC,R 187396719 187396774 56 401.2 659.3 316.9 816.1 2.92 166
SFIX,R 187396775
EFIX,R 187396775 187397786 1012 313.7 803.1 4171
SSACC,R 187397787
ESACC,R 187397787 187397806 20 318.4 827.4 314.4 794.2 0.55 71
SFIX,R 187397807
EFIX,R 187397807 187397886 80 320.1 828.1 4586
SSACC,R 187397887
ESACC,R 187397887 187397902 16 314.5 831.1 309.6 875.1 0.72 86
SFIX,R 187397903
EFIX,R 187397903 187397929 27 310.6 853.2 4752
SSACC,R 187397930
ESACC,R 187397930 187397945 16 311.3 853.3 311.2 873.8 0.33 72
SFIX,R 187397946
EFIX,R 187397946 187397979 34 314.1 853.1 4662
SSACC,R 187397980
ESACC,R 187397980 187398299 320 319.8 841.9 670.5 67.2 14.16 171
SFIX,R 187398300
EFIX,R 187398300 187398332 33 671.2 68.1 2620
SSACC,R 187398333
ESACC,R 187398333 187398371 39 658.7 53.4 655.2 89.5 0.62 110
SFIX,R 187398372
EFIX,R 187398372 187398417 46 642.3 142.6 2831
SSACC,R 187398418
ESACC,R 187398418 187398522 105 627.0 187.9 539.9 353.2 3.17 125
SFIX,R 187398523
EFIX,R 187398523 187398563 41 530.3 386.1 3224
SSACC,R 187398564
SBLINK,R 187398674
EBLINK,R 187398674 187398810 137
ESACC,R 187398564 187399061 498 509.3 416.7 529.1 543.5 2.17 1026
SFIX,R 187399062
EFIX,R 187399062 187400199 1138 501.1 535.7 3617
SSACC,R 187400200
ESACC,R 187400200 187400276 77 496.3 529.7 197.8 524.4 4.89 200
SFIX,R 187400277
EFIX,R 187400277 187400436 160 169.8 569.6 2508
SSACC,R 187400437
ESACC,R 187400437 187400488 52 152.2 605.5 159.9 626.8 0.37 75
SFIX,R 187400489
EFIX,R 187400489 187400540 52 156.8 624.4 2595
SSACC,R 187400541
ESACC,R 187400541 187400568 28 163.8 602.5 156.1 589.9 0.24 113
SFIX,R 187400569
EFIX,R 187400569 187400607 39 165.8 570.5 2512
SSACC,R 187400608
ESACC,R 187400608 187400886 279 167.4 560.7 209.1 537.6 0.77 160
SFIX,R 187400887
EFIX,R 187400887 187400946 60 183.6 567.0 2655
SSACC,R 187400947
ESACC,R 187400947 187401270 324 167.6 582.2 141.5 830.0 4.06 209
SFIX,R 187401271
EFIX,R 187401271 187401319 49 157.2 786.3 3724
SSACC,R 187401320
SBLINK,R 187401469
EBLINK,R 187401469 187402530 1062
ESACC,R 187401320 187402681 1362 188.6 730.4 559.9 483.0 7.34 333
SFIX,R 187402682
EFIX,R 187402682 187402715 34 550.3 516.3 3512
SSACC,R 187402716
ESACC,R 187402716 187402730 15 531.7 524.7 514.3 584.0 1.04 108
SFIX,R 187402731
EFIX,R 187402731 187402751 21 516.6 592.8 3582
SSACC,R 187402752
ESACC,R 187402752 187402769 18 521.7 581.3 559.4 519.7 1.21 126
SFIX,R 187402770
EFIX,R 187402770 187402805 36 559.7 510.2 3274
SSACC,R 187402806
ESACC,R 187402806 187402837 32 548.4 514.1 480.7 682.5 3.04 110
SFIX,R 187402838
EFIX,R 187402838 187402994 157 471.2 680.4 3440
SSACC,R 187402995
SBLINK,R 187403014
EBLINK,R 187403014 187403118 105
ESACC,R 187402995 187403164 170 499.2 622.5 -119.4 86.8 13.29 1031
SFIX,R 187403165
EFIX,R 187403165 187404305 1141 -116.8 101.9 2853
SSACC,R 187404306
ESACC,R 187404306 187404329 24 -112.9 92.5 -67.7 -42.7 2.32 174
SFIX,R 187404330
EFIX,R 187404330 187405711 1382 -76.1 -36.3 2914
SSACC,R 187405712
