event_type,fields
SSACC,R 186253962
ESACC,R 186253962 186253970 9 384.1 505.7 369.3 532.9 0.52 64
SFIX,R 186253971
EFIX,R 186253971 186254344 374 372.6 526.7 2874
SSACC,R 186254345
ESACC,R 186254345 186254362 18 381.4 516.6 454.1 528.6 1.22 129
SFIX,R 186254363
EFIX,R 186254363 186255093 731 447.7 526.9 2796
SSACC,R 186255094
ESACC,R 186255094 186255148 55 446.8 524.5 1250.5 567.9 13.44 486
SFIX,R 186255149
EFIX,R 186255149 186255426 278 1240.2 577.7 1916
SSACC,R 186255427
ESACC,R 186255427 186255471 45 1233.9 574.1 1091.2 61.7 9.04 414
SFIX,R 186255472
EFIX,R 186255472 186255724 253 1088.6 74.3 1860
SSACC,R 186255725
ESACC,R 186255725 186255783 59 1094.4 91.6 444.8 602.4 13.90 466
SFIX,R 186255784
EFIX,R 186255784 186256430 647 436.3 598.6 2159
SSACC,R 186256431
ESACC,R 186256431 186256473 43 426.0 600.2 365.0 69.9 8.96 478
SFIX,R 186256474
EFIX,R 186256474 186256655 182 365.0 77.6 1870
SSACC,R 186256656
ESACC,R 186256656 186256703 48 363.7 79.6 1065.2 431.3 13.18 583
SFIX,R 186256704
EFIX,R 186256704 186257056 353 1069.5 434.0 2194
SSACC,R 186257057
ESACC,R 186257057 186257088 32 1073.5 431.5 707.5 639.7 7.12 429
SFIX,R 186257089
EFIX,R 186257089 186257387 299 686.0 655.2 2303
SSACC,R 186257388
ESACC,R 186257388 186257457 70 684.8 667.0 1006.0 1453.1 13.53 407
SFIX,R 186257458
EFIX,R 186257458 186257502 45 1018.8 1461.5 2241
SSACC,R 186257503
ESACC,R 186257503 186257548 46 1021.5 1458.1 1342.9 1105.0 7.52 290
SFIX,R 186257549
EFIX,R 186257549 186257818 270 1342.0 1095.3 2369
SSACC,R 186257819
ESACC,R 186257819 186257849 31 1343.8 1087.0 1624.9 1278.3 5.39 369
SFIX,R 186257850
EFIX,R 186257850 186258029 180 1656.8 1282.1 2472
SSACC,R 186258030
ESACC,R 186258030 186258084 55 1656.9 1267.0 865.8 302.5 20.23 848
SFIX,R 186258085
EFIX,R 186258085 186258200 116 868.1 299.4 2638
SSACC,R 186258201
ESACC,R 186258201 186258220 20 869.7 297.7 790.7 252.7 1.55 142
SFIX,R 186258221
EFIX,R 186258221 186259158 938 751.0 247.8 2088
SSACC,R 186259159
ESACC,R 186259159 186259195 37 725.5 236.1 1308.8 608.6 11.68 638
SFIX,R 186259196
EFIX,R 186259196 186259291 96 1315.6 633.5 1705
SSACC,R 186259292
ESACC,R 186259292 186259309 18 1313.4 635.4 1379.3 677.2 1.30 127
SFIX,R 186259310
EFIX,R 186259310 186259927 618 1389.3 675.5 2158
SSACC,R 186259928
ESACC,R 186259928 186259997 70 1394.4 674.3 1673.2 1388.0 12.12 332
SFIX,R 186259998
EFIX,R 186259998 186260372 375 1669.4 1378.5 2452
SSACC,R 186260373
ESACC,R 186260373 186260394 22 1675.7 1367.1 1595.4 1264.2 2.00 192
SFIX,R 186260395
EFIX,R 186260395 186260650 256 1591.8 1266.5 2589
SSACC,R 186260651
ESACC,R 186260651 186260667 17 1588.9 1255.2 1550.9 1190.2 1.17 82
SFIX,R 186260668
EFIX,R 186260668 186261019 352 1529.5 1176.7 2836
SSACC,R 186261020
ESACC,R 186261020 186261037 18 1530.3 1169.6 1460.5 1164.4 1.12 86
SFIX,R 186261038
EFIX,R 186261038 186261352 315 1439.9 1158.9 2938
SSACC,R 186261353
ESACC,R 186261353 186261432 80 1440.2 1158.4 769.7 1039.2 11.07 338
SFIX,R 186261433
EFIX,R 186261433 186262072 640 745.4 1045.3 2963
SSACC,R 186262073
ESACC,R 186262073 186262131 59 748.3 1047.2 1788.6 1239.2 16.84 622
SFIX,R 186262132
EFIX,R 186262132 186262751 620 1771.4 1239.0 2661
SSACC,R 186262752
ESACC,R 186262752 186262762 11 1769.2 1234.4 1796.2 1264.2 0.62 65
SFIX,R 186262763
EFIX,R 186262763 186263670 908 1792.0 1275.8 2721
SSACC,R 186263671
SBLINK,R 186263693
EBLINK,R 186263693 186263760 68
ESACC,R 186263671 186263793 123 1784.2 1281.9 872.4 276.4 21.89 1955
SFIX,R 186263794
EFIX,R 186263794 186263866 73 867.4 271.8 2737
