tracker_time_ms,message
186282380,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186282380,!V TRIAL_VAR Condition_ID C000006
186282381,!V TRIAL_VAR Is_Control True
186282381,!V TRIAL_VAR Stim_Color_Name Control
186282381,!V TRIAL_VAR Stim_Intensity_Level 0
186282381,!V TRIAL_VAR Stim_Pos_X_deg 3.0
186282381,!V TRIAL_VAR Stim_Pos_Y_deg 8.0
186282386,FIX_ON TRIAL 6
186284396,FIX_OFF TRIAL 6
186284400,!V TRIAL_VAR Status Control_nofix_1
186284400,!V TRIAL_VAR Subject_ID Monkey_H18
186284400,TRIAL_RESULT Control_nofix_1
186287461,TRIALID 7
186287462,!V TRIAL_VAR Subject_ID Monkey_H18
186287462,!V TRIAL_VAR Planned_Fixation_Duration_ms 458.0654768875561
186287462,!V TRIAL_VAR Fixation_Pos_X_deg 3.0
186287462,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186287462,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186287462,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186287462,!V TRIAL_VAR Stim_Pos_X_deg 3.0
186287462,!V TRIAL_VAR Stim_Pos_Y_deg 8.0
186287462,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186287462,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186287462,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186287462,!V TRIAL_VAR Stim_Orientation_deg 0.0
186287462,!V TRIAL_VAR Gap_Duration_ms 100.0
186287462,!V TRIAL_VAR Stim_Duration_ms 200.0
186287462,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186287462,!V TRIAL_VAR Condition_ID C000006
186287468,ERROR MESSAGES LOST 5
186287468,FIX_ON TRIAL 7
186287832,GAZE_ACQUIRED TRIAL 7
186288143,FIX_OFF TRIAL 7
186288154,REWARD TRIAL 7
186288416,!V TRIAL_VAR Status Control_Success
186288416,!V TRIAL_VAR Subject_ID Monkey_H18
186288416,TRIAL_RESULT Control_Success
186291479,TRIALID 8
186291480,!V TRIAL_VAR Subject_ID Monkey_H18
186291480,!V TRIAL_VAR Planned_Fixation_Duration_ms 324.5361546862076
186291480,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186291480,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186291480,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186291480,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186291480,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186291480,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186291480,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186291480,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186291480,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
