event_type,fields
EFIX,R 100960740 100961362 623 781.3 295.6 2555
SSACC,R 100961363
ESACC,R 100961363 100961371 9 780.3 295.9 754.1 301.1 0.45 55
SFIX,R 100961372
EFIX,R 100961372 100961502 131 750.4 304.4 2751
SSACC,R 100961503
ESACC,R 100961503 100961526 24 749.3 304.9 616.1 293.4 2.26 155
SFIX,R 100961527
EFIX,R 100961527 100961807 281 599.2 294.5 2889
SSACC,R 100961808
ESACC,R 100961808 100961813 6 599.1 290.5 600.1 277.8 0.22 37
SFIX,R 100961814
EFIX,R 100961814 100962417 604 599.4 273.7 2928
SSACC,R 100962418
ESACC,R 100962418 100962446 29 598.0 275.5 400.3 278.3 3.30 194
SFIX,R 100962447
EFIX,R 100962447 100963461 1015 386.5 287.6 2688
SSACC,R 100963462
SBLINK,R 100963480
EBLINK,R 100963480 100963685 206
ESACC,R 100963462 100963733 272 384.4 297.2 255.9 221.6 2.47 359
SFIX,R 100963734
EFIX,R 100963734 100963920 187 253.8 221.4 2489
SSACC,R 100963921
ESACC,R 100963921 100963945 25 253.9 219.6 375.0 295.7 2.37 175
SFIX,R 100963946
EFIX,R 100963946 100964160 215 382.0 295.5 2599
SSACC,R 100964161
ESACC,R 100964161 100964194 34 387.5 288.3 195.9 14.0 5.57 263
SFIX,R 100964195
EFIX,R 100964195 100964833 639 143.8 -23.2 2297
SSACC,R 100964834
ESACC,R 100964834 100964850 17 122.6 -21.0 187.2 -23.9 1.04 97
SFIX,R 100964851
EFIX,R 100964851 100965464 614 203.7 -24.5 1921
SSACC,R 100965465
ESACC,R 100965465 100965523 59 213.2 -25.4 670.0 226.9 8.68 244
SFIX,R 100965524
EFIX,R 100965524 100966068 545 697.6 259.5 2207
SSACC,R 100966069
ESACC,R 100966069 100966088 20 699.0 257.5 613.9 287.9 1.53 116
SFIX,R 100966089
EFIX,R 100966089 100966259 171 603.1 294.7 2623
SSACC,R 100966260
ESACC,R 100966260 100966284 25 603.2 291.0 778.9 318.6 3.01 216
SFIX,R 100966285
EFIX,R 100966285 100967033 749 792.3 322.7 2570
SSACC,R 100967034
SBLINK,R 100967061
EBLINK,R 100967061 100967297 237
ESACC,R 100967034 100967306 273 789.6 326.5 705.9 322.3 1.42 377
SFIX,R 100967307
EFIX,R 100967307 100967515 209 367.6 603.2 2336
SSACC,R 100967516
ESACC,R 100967516 100967538 23 364.5 580.8 427.7 685.4 2.03 155
SFIX,R 100967539
